x,y,z
1620.5139366335268,-556.7545943709858,742.8110492097245
1683.5790806354992,-630.6180123532504,739.9682981137532
1708.0,-659.0,739.0
1790.0,-754.0,736.0
1872.0,-851.0,732.0
1909.3493285342138,-894.7643211963434,729.9806968747027
1987.0,-985.0,726.0
2014.438925971805,-1016.9715553982996,724.9071953578931
2071.0,-1083.0,723.0
2208.0,-1243.0,718.0
2255.798716950183,-1298.7713649236844,715.7575335627719
2411.0,-1480.0,708.0
2498.5020427788904,-1583.145228340286,705.0384204178922
2562.0,-1657.0,702.0
2591.099081619584,-1690.4976133801902,700.2219224099495
2595.0,-1695.0,700.0
2678.9185272818836,-1793.0289729497356,696.7692226775325
2725.0,-1847.0,695.0
2835.0,-1975.0,689.0
2888.734931325434,-2037.8980372629148,686.6440921690476
3029.629118331567,-2203.4976246797587,681.5867277106029
3099.0,-2285.0,679.0
3121.8511088598225,-2311.7868227526965,678.0241391388779
3167.7721822225653,-2365.235619044166,675.425479120422
3177.0,-2376.0,675.0
3356.0,-2585.0,668.0
3363.042419951308,-2593.182817737932,667.7056065678192
3469.0,-2716.0,663.0
3498.1498721446223,-2749.901522101971,661.6973419784597
3559.0,-2821.0,659.0
3649.0,-2927.0,655.0
3655.577275724163,-2934.7291372098625,654.6973084504336
3800.0,-3104.0,648.0
3892.515056711097,-3213.3636561364274,644.2431371898022
4027.0,-3373.0,639.0
4105.92676900495,-3466.99891619399,635.5318956111261
4117.0,-3480.0,635.0
4261.231645662914,-3648.390132671249,628.2058835244204
4266.0,-3654.0,628.0
4391.0,-3802.0,623.0
4397.773926796406,-3809.9649967444566,622.7181173391002
4512.488090173902,-3943.7214684207092,617.6966939712108
4529.0,-3963.0,617.0
4654.464909777799,-4110.2131761166775,612.0179400130331
4679.0,-4139.0,611.0
4728.095141382583,-4196.467279069559,608.7944427390788
4794.0,-4274.0,606.0
4944.0,-4451.0,600.0
5043.61357738342,-4568.3118277407475,596.0076524818709
5137.3512112861545,-4677.459054084779,592.0695480494942
5164.0,-4709.0,591.0
5280.077981977359,-4846.771257326169,586.3771493228595
5314.0,-4887.0,585.0
5389.966827091723,-4976.7398399010835,581.7471127005161
5453.0,-5051.0,579.0
5663.583576126166,-5306.909937509717,570.2494056071474
5669.0,-5314.0,570.0
5797.728535368446,-5492.249803472813,563.5598853168071
5863.0,-5593.0,560.0
5874.953243753576,-5613.428059472939,559.3156972042624
5913.789707044247,-5704.678294427272,556.6400994696531
5928.0,-5762.0,555.0
5948.549067080894,-5858.39051013346,552.0979302196939
5963.0,-6012.0,548.0
5961.834230120676,-6045.5510559537815,547.2737762444627
5925.0,-6295.0,543.0
5904.416761904862,-6382.409658922316,541.8732331343556
5884.0,-6453.0,542.0
5875.093575685997,-6485.424935599152,542.3468402622879
5857.0,-6545.0,543.0
5836.152039678223,-6598.787661886019,543.2678373215512
5776.12244127432,-6722.31115033495,543.0876842254883
5746.0,-6776.0,543.0
5693.313382212378,-6849.108022529903,543.1587901960831
5610.0,-6903.0,545.0
5596.289699185969,-6911.117220752529,545.393857329449
5535.0,-6945.0,547.0
5460.089010294519,-6974.657949768029,547.7832548491407
5446.0,-6979.0,548.0
5364.0,-6998.0,550.0
5317.406239117952,-7004.476029463406,551.0208595135099
5237.757054785061,-7008.401405855813,552.4908827404478
5214.0,-7008.0,553.0
5106.0,-6997.0,556.0
5100.184843577828,-6995.960163165274,556.2118490695481
5010.0,-6973.0,560.0
4730.006446523551,-6781.373287269926,568.9207427692617
4727.0,-6778.0,569.0
4619.476728674179,-6633.6903051985955,571.9158098725765
4617.0,-6630.0,572.0
4560.0,-6541.0,574.0
4520.3954851895105,-6475.78293856502,574.8963145610116
4464.0,-6381.0,576.0
4440.556283610774,-6340.843557961728,576.5887598755615
4394.587552036806,-6257.784901422346,578.3934192454282
4373.0,-6219.0,579.0
4338.101329798776,-6157.105998524431,579.7644924238126
4329.0,-6141.0,580.0
4274.4263615285345,-6044.313589625558,581.9076065671777
4272.0,-6040.0,582.0
4196.596473118552,-5909.765904717703,584.8679147882693
4193.0,-5904.0,585.0
4064.4785386257277,-5708.255929083788,589.575902334536
4052.0,-5690.0,590.0
3988.494653229442,-5604.84755469796,591.7910721748455
3977.0,-5590.0,592.0
3875.829511112546,-5464.469777592476,593.6210793625779
3810.0,-5405.0,595.0
3739.8996320932047,-5348.688217037109,596.5852162640996
3635.0,-5270.0,599.0
3563.0776633332252,-5220.767610792919,600.5083637842614
3526.736835320406,-5209.978090124523,601.194469068104
3498.0,-5202.0,602.0
3335.0,-5158.0,607.0
3325.9001074289354,-5156.199960977971,607.2632576721827
3166.0,-5138.0,612.0
2928.760841469164,-5120.555705631979,620.741700978086
2922.0,-5120.0,621.0
2812.108938750534,-5101.507989703608,625.5416369283959
2776.0,-5088.0,627.0
2701.0,-5060.0,630.0
2656.8207194511915,-5039.996797275242,632.1417268844185
2548.9168516603986,-4971.425076417917,639.0961110115294
2523.0,-4950.0,641.0
2383.0,-4806.0,652.0
2378.053066747367,-4799.917404880667,652.3727646939608
2306.385742863964,-4677.615156255534,657.3934920515785
2292.0,-4641.0,659.0
2271.699072770847,-4584.077770507155,661.7616408144964
2270.0,-4579.0,662.0
2220.841188186523,-4406.519446264223,669.1665880828932
2216.0,-4389.0,670.0
2185.6178251912384,-4282.5496416735405,675.7046993516071
2184.0,-4277.0,676.0
2155.0,-4178.0,681.0
2142.123862317655,-4132.628653258881,683.175054194502
2094.0,-3968.0,691.0
2091.731225101388,-3961.411828647376,691.3411004816244
2066.0,-3895.0,695.0
2058.665215038037,-3878.8642683989256,695.9610491067382
1981.862892015943,-3755.38346143205,703.9612837445186
1968.0,-3739.0,705.0
1874.0,-3642.0,711.0
1828.164484085794,-3599.991348711653,713.6344971243565
1739.3367922044854,-3538.902390322207,718.005390822588
1700.0,-3518.0,720.0
1663.12843991026,-3499.7124175222225,721.9324099787782
1603.0,-3473.0,725.0
1512.0,-3443.0,729.0
1457.1470058392085,-3430.3834071455663,731.2632777705876
1416.0,-3423.0,733.0
1304.0,-3410.0,738.0
1223.9513849890275,-3404.299553900464,741.3362068129031
1069.4906767011944,-3396.6400159319933,747.2924303580476
1023.0,-3394.0,749.0
943.8663393477714,-3388.6276586741906,751.774168802637
792.0,-3367.0,756.0
681.0,-3337.0,758.0
673.7380157141226,-3334.586957335414,758.098040540654
544.0,-3279.0,759.0
533.0,-3273.0,759.0
396.4752661865833,-3179.332983840002,758.5398580415439
310.0,-3111.0,758.0
236.1300284248043,-3044.5450260572024,757.2667777458919
190.58307675887824,-2990.1153268795615,756.3665133786798
149.0,-2923.0,755.0
130.96075981521042,-2888.699614073231,754.2482815652116
59.34158559254612,-2725.2789753837906,750.4347282068137
52.0,-2707.0,750.0
32.29395091272773,-2652.6410789831216,748.695927211087
32.0,-2577.0,747.0
52.0,-2397.0,743.0
62.063099344040744,-2345.717870892572,741.6818441781113
92.0,-2281.0,740.0
132.0704065539789,-2183.450988043051,739.0978799137025
144.0,-2154.0,739.0
183.23999271657894,-2058.0484694275815,739.2815629995774
208.0,-1997.0,740.0
256.1820419889195,-1876.0851082286695,742.3647475897116
309.0,-1742.0,746.0
328.9450515388768,-1691.0105414176014,748.0565138299371
340.0,-1657.0,750.0
362.13982617793863,-1572.4365162664428,755.4389542166264
379.0,-1477.0,762.0
379.7995859778598,-1469.4958963755057,762.5317383639411
378.80919103761914,-1346.1858989779278,771.6824851429357
363.0,-1280.0,777.0
312.2361696885823,-1145.5219911244308,788.2273173234165
303.0,-1124.0,790.0
189.0,-956.0,803.0
171.88861540418705,-939.1306459576476,804.4914859556002
44.475877428803884,-823.5767492127424,815.6080385013809
40.0,-820.0,816.0
-29.380205662828445,-774.1955772213569,822.1040816611685
-90.0,-745.0,827.0
