x,y,z
1625.149494326555,-561.9739723877138,741.9168812803207
1641.318137915309,-580.851701502021,741.2328181639367
1674.0,-619.0,740.0
1764.0,-724.0,737.0
1797.344635709629,-762.8741567544917,735.6616965419296
1927.9942268911395,-915.4196143584986,729.4305592117365
1937.0,-926.0,729.0
2040.3265657998088,-1047.8537712970078,724.3450663940828
2049.0,-1058.0,724.0
2164.13275810603,-1191.345865476185,719.8452584089918
2205.0,-1239.0,718.0
2268.2485661254314,-1313.511567553464,714.5266156807738
2278.0,-1325.0,714.0
2385.939603989874,-1451.633492763148,708.7937610406702
2477.0,-1558.0,705.0
2517.975224077738,-1605.7426407517987,703.4753040283599
2636.0,-1743.0,699.0
2647.353684205037,-1756.2312086440318,698.4418913398833
2732.0,-1855.0,694.0
2792.336108122983,-1925.505648959769,691.3099368835559
2850.0,-1993.0,689.0
2897.959042898115,-2049.184259770531,687.0941102383847
3076.0,-2258.0,680.0
3105.073366570181,-2292.203122214953,678.7863847381657
3163.0,-2360.0,676.0
3182.3459510020734,-2382.274016228738,675.0921710522259
3273.0,-2487.0,671.0
3297.251310854428,-2515.527997330101,669.9839613286589
3371.0,-2603.0,667.0
3468.95772688326,-2716.397706854536,662.6092058633163
3504.0,-2757.0,661.0
3703.0,-2990.0,652.0
3740.028845699364,-3033.5507815936603,650.4079453970172
3813.4651471819075,-3120.190328497467,647.4634000069427
3901.0,-3224.0,644.0
3923.07850530391,-3250.231210971874,643.0875191376242
4045.0,-3395.0,638.0
4145.0,-3513.0,634.0
4168.812712648823,-3541.124624211122,632.9833821488362
4234.0,-3618.0,630.0
4258.313563431325,-3646.474847722067,628.8015442956945
4335.0,-3736.0,625.0
4430.795316017756,-3849.083193303084,621.4045782158587
4469.0,-3894.0,620.0
4593.493007663209,-4039.519009892801,615.1398035700586
4695.0,-4158.0,611.0
4750.4118574690165,-4222.8020417198195,608.6456206653532
4842.865486339115,-4331.316514086327,604.4263791926453
4875.0,-4369.0,603.0
4925.029421529318,-4427.551785901258,600.8882561249904
5008.548700579857,-4525.205347401702,597.5306515664026
5045.0,-4568.0,596.0
5152.6043466007,-4694.874577812829,591.3832843511516
5162.0,-4706.0,591.0
5263.0,-4826.0,587.0
5264.690243078222,-4828.010933752871,586.9285815647991
5375.0,-4959.0,582.0
5376.650784271521,-4960.946356523278,581.9301889443401
5465.052495094998,-5064.953068656578,578.4352943370238
5476.0,-5078.0,578.0
5602.217745190645,-5231.219652401102,572.7690335680395
5716.0,-5373.0,568.0
5774.248908741274,-5448.761084891791,565.6957390014389
5824.5973159729065,-5524.410478008558,563.3652459639579
5831.0,-5535.0,563.0
5876.0,-5620.0,560.0
5897.572403894742,-5680.273458434098,558.0263756474404
5962.0,-5982.0,549.0
5964.703403843096,-6000.5991619804245,548.4860861179998
5970.158569795059,-6089.833658969433,546.3147165102407
5950.0,-6177.0,545.0
5934.886110347996,-6244.036121350588,543.8757067714948
5904.0,-6377.0,542.0
5879.87325500322,-6468.085322940421,541.7412973507825
5870.0,-6502.0,542.0
5848.0,-6571.0,543.0
5835.400473074283,-6605.7046478975935,543.2225937614455
5790.0,-6706.0,543.0
5778.560395773593,-6725.801770939651,543.126411749325
5732.0,-6792.0,544.0
5717.9466289789925,-6808.696310013074,544.2023331588543
5646.0,-6877.0,545.0
5628.473236779553,-6889.902941327946,545.2362227467502
5571.0,-6926.0,546.0
5495.237573545381,-6963.005847743753,546.5958616380746
5473.0,-6970.0,547.0
5341.890598391053,-6999.375091208411,550.2759006184076
5314.0,-7004.0,551.0
5190.813921393573,-7008.495600553186,553.9335762382723
5147.0,-7003.0,555.0
5087.553311623189,-6992.916182318275,556.6599916080078
5001.030904827952,-6969.912481860832,559.4721121793456
4956.0,-6951.0,561.0
4906.26893877061,-6925.19949544107,562.7169672006464
4805.3172241197035,-6855.855686451439,566.2183816554613
4782.0,-6835.0,567.0
4740.74135843574,-6792.928325559362,568.3506367745922
4618.0,-6631.0,572.0
4617.23029654707,-6629.857118725283,572.0203138294953
4555.586718812972,-6533.632806170059,573.5371686826355
4500.0,-6442.0,575.0
4495.117235301646,-6433.8959796903055,575.1664452065626
4471.78938639253,-6394.626027259919,576.2885729031458
4452.0,-6360.0,577.0
4431.339987514144,-6323.50133597087,577.4521884949874
4362.0,-6200.0,579.0
4330.521703182684,-6143.343078604472,580.4134549310953
4295.0,-6080.0,582.0
4268.778399479724,-6034.371133781103,582.703788851243
4257.0,-6014.0,583.0
4179.069695974423,-5881.133617782675,585.5214856296868
4166.0,-5860.0,586.0
4107.103865656454,-5769.164744292581,588.2352144904487
4086.0,-5738.0,589.0
4023.0,-5651.0,591.0
4011.280126113177,-5636.161908313985,591.325098284731
3856.0,-5451.0,595.0
