x,y,z
1607.945534726342,-541.2840591173673,743.0461052087119
1660.0,-602.0,741.0
1662.0466505449072,-604.3851904881575,740.9208142590387
1763.0,-722.0,737.0
1960.0,-953.0,728.0
2044.9057045422958,-1052.4719552754837,724.5100148320937
2162.8184022784485,-1190.5220342848622,719.8240647016694
2182.0,-1213.0,719.0
2273.848458574861,-1320.724156604989,714.6826087716671
2310.0,-1363.0,713.0
2450.0,-1526.0,707.0
2462.585517346545,-1540.62904101891,706.488839565562
2548.0,-1640.0,703.0
2613.0,-1716.0,700.0
2634.6716373097665,-1741.2867718913712,698.9307372855192
2729.631088801378,-1851.643203813021,693.9818447935786
2800.0,-1934.0,691.0
2988.0,-2155.0,684.0
3024.8020601906883,-2198.2491908236866,682.4999034992838
3088.0,-2272.0,679.0
3116.5585109204103,-2305.267289618741,677.7324436359271
3234.0,-2442.0,673.0
3236.37410883094,-2444.759035208154,672.9069444174148
3349.242465312545,-2575.8306063165514,668.4599276917418
3381.0,-2613.0,667.0
3482.0,-2732.0,662.0
3483.700900170148,-2733.9914835329305,661.933344206556
3573.0,-2838.0,659.0
3664.129844028046,-2945.240313372162,654.1210590485798
3686.0,-2971.0,653.0
3841.0735686662956,-3153.1816812029665,646.8523610322593
3863.0,-3179.0,646.0
3975.4206718997943,-3311.921526861939,641.1365062193667
4000.0,-3341.0,640.0
4129.7626743937235,-3494.3686825457016,633.8917322173392
4171.0,-3543.0,632.0
4277.10094123464,-3667.3026256848466,627.6750989799795
4344.0,-3746.0,625.0
4436.0,-3855.0,621.0
4465.754217190298,-3889.9993980459735,619.7863132961411
4668.0,-4126.0,612.0
4669.806728850264,-4128.108461852076,611.9259374218743
4763.416361790979,-4237.628754512564,607.6687521765489
4866.0,-4358.0,603.0
4909.389313589196,-4408.847039810498,601.2737010802832
4994.0,-4508.0,598.0
5090.011787618332,-4620.690728661624,594.1351397092611
5345.0,-4923.0,583.0
5510.586050384064,-5120.566497608932,576.052755460939
5611.0,-5241.0,572.0
5675.052949890671,-5320.582092207725,569.9171836675656
5700.0,-5353.0,569.0
5813.0,-5506.0,564.0
5873.176508949521,-5612.059725023266,560.4203363540876
5919.3940178000275,-5732.686808552763,556.4489878135633
5932.0,-5780.0,555.0
5949.775575257364,-5870.98571224528,552.3457404129441
5957.0,-5918.0,551.0
5963.462884982751,-6090.6831733240715,546.6679265231397
5957.0,-6134.0,546.0
5901.0,-6392.0,543.0
5883.314988640414,-6465.278838450869,542.1374418034491
5869.0,-6504.0,542.0
5836.5549472885705,-6595.609788495407,542.5233324431056
5810.0,-6667.0,543.0
5776.42575739345,-6741.5262560287465,543.571637610561
5732.0,-6794.0,544.0
5684.7272853553095,-6838.787871836421,544.3635323101861
5608.0,-6905.0,545.0
5532.301244259017,-6956.064698482476,546.7390936884618
5492.0,-6964.0,548.0
5434.677904851856,-6980.193470292696,548.953537458494
5359.0,-6999.0,550.0
5325.7482840587045,-7004.193658400309,550.4860778110233
5236.0,-7009.0,552.0
5156.0,-7005.0,554.0
5124.917227286039,-7000.967263334398,555.1808789715635
5047.162918665086,-6984.301277695167,558.6897722995598
5039.0,-6982.0,559.0
5010.0,-6973.0,560.0
4972.48578058461,-6959.7235384163,561.2413215721475
4918.0,-6933.0,563.0
4820.777653442835,-6862.2057673897525,566.0715059590618
4728.0,-6781.0,569.0
4707.704923290818,-6760.584393274164,569.6575691544602
4665.0,-6700.0,571.0
4653.624894030111,-6683.247224264541,571.301913064746
4586.0,-6583.0,573.0
4554.2783497641985,-6532.80733402534,573.8002021985733
4470.0,-6392.0,576.0
4433.173427798331,-6328.151571594598,577.1010265967572
4403.0,-6274.0,578.0
4396.958742125698,-6263.071380253772,578.1682528921642
4335.43572715601,-6151.695441390285,579.840660722834
4330.0,-6142.0,580.0
4245.561718410618,-5994.640415654765,582.7988762118473
4240.0,-5985.0,583.0
